peak,vmin,vmax
1000.169719,0.00010000001429163316,0.00022823975247938746
1001.571021,0.00010000000030968535,0.0006854071290541558
1001.652219,0.00010000323957130049,0.0021361120366045834
1002.581042,9.999999980998001e-05,0.0012186231577326564
1003.667804,0.00010000639086867346,0.0033544521097513542
1004.586517,9.999999959486373e-05,0.000554739975499995
1004.641764,0.00010000000000688383,0.0005520421419208656
1004.670867,0.00010000004413154612,0.0010034823835754247
1007.605030,0.00010000001535606755,0.0010852726392182365
1010.252805,0.00010000000045542121,0.0004717227577908752
1011.499561,0.00010000000198755334,0.0007441465182737842
1014.546581,9.999999995019496e-05,0.000517059845184191
1019.046971,0.00010000002380903075,0.0003385360334647076
1019.558031,9.999999938648179e-05,0.0008780953248431614
1024.956598,9.999999970485076e-05,0.0005457121315074219
1025.538300,0.00010000006028106136,0.0019520844195313792
1028.526041,9.999999928241695e-05,0.000559248872440978
1029.529570,9.99999995706566e-05,0.0004839331890422267
1032.617222,9.999999813290909e-05,0.0017176396914131854
1035.499120,0.00010000000143919785,0.00069126447085041
1039.550852,9.999999936956608e-05,0.0005227504954380645
1045.561761,9.999999893863292e-05,0.0006861394280549011
1048.565112,0.00010000001219078558,0.0005702483934356022
1050.509665,0.0001000000006647361,0.0005610998579682286
1054.541671,9.999999889229363e-05,0.0005839226212495217
1057.560950,0.00010000000119160052,0.0005894388174665072
1058.022985,0.00010000000005640404,0.0006549630095855239
1060.648419,0.000100000040925029,0.0007452163907554555
1062.951232,0.00010000007340271078,0.0009578702721752992
1063.036808,0.0001000000009085217,0.0003835581752831716
1063.571492,0.00010000000097122586,0.0005815523316061648
1063.954814,0.00010000000622570432,0.0007007595836775633
1065.589212,0.00010000000069316188,0.0006041226881704473
1066.056106,9.997154701204611e-05,0.0006578287329956612
1066.219251,0.00010000000012089912,0.0005025765285234767
1071.576664,0.00010000000073197652,0.0004889022925275621
1072.106241,9.291738532962227e-05,0.00010840806764243882
1074.510542,0.00010000000041303059,0.000731983414871812
1076.525770,0.0001000000015591474,0.0006249932011846681
1077.530178,9.999999985549808e-05,0.0005962982360580416
1078.925058,0.00010000000160983805,0.0007510711965545514
1079.406222,9.999999901548097e-05,0.0007306165859596693
1079.605209,9.999999963497795e-05,0.00045999576573702656
1082.590315,9.999999959426527e-05,0.000504652189896716
1087.034884,9.996990615777259e-05,0.0006122188061886125
1088.038270,0.00010000095728005883,0.0005069207331221135
1097.455572,9.999999980688931e-05,0.0013014087509386984
